case_id,gt_et_voxels,small_gt_lesions,baseline_pred_et_voxels,baseline_et_dice,baseline_hd95_mm,baseline_boundary_dice,baseline_boundary_valid,baseline_small_detected_lesions,baseline_small_missed_lesions,baseline_small_gt_anchored_dice,lhfc_pred_et_voxels,lhfc_et_dice,lhfc_hd95_mm,lhfc_boundary_dice,lhfc_boundary_valid,lhfc_small_detected_lesions,lhfc_small_missed_lesions,lhfc_small_gt_anchored_dice,full_pred_et_voxels,full_et_dice,full_hd95_mm,full_boundary_dice,full_boundary_valid,full_small_detected_lesions,full_small_missed_lesions,full_small_gt_anchored_dice,small_detection_gain,small_dice_gain,et_dice_gain,hd95_improvement,boundary_dice_improvement,all_models_boundary_valid,regression_score,gt_index,gt_id,gt_size,baseline_detected,baseline_pred_index,baseline_pred_size,baseline_lesion_dice,lhfc_detected,lhfc_pred_index,lhfc_pred_size,lhfc_lesion_dice,full_detected,full_pred_index,full_pred_size,full_lesion_dice,small_lesion_dice_gain,small_lesion_dice_gain_vs_lhfc,selection_role,selection_strict,selection_reason
BraTS20_Training_309,1976,4,2492,0.6056401074306177,36.56158755551159,0.6245458215583367,True,1,3,0.059490084985835696,2322,0.6272684969753374,20.285451557760364,0.6663924310983135,True,1,3,0.06501547987616099,2321,0.6325343262741447,18.934082436570947,0.6768790849673203,True,1,3,0.07581227436823104,0,0.016322189382395345,0.02689421884352705,17.627505118940647,0.05233326340898359,True,-1.979718338090018,8.0,9.0,42.0,True,5.0,311.0,0.23796033994334279,True,3.0,281.0,0.26006191950464397,True,4.0,235.0,0.30324909747292417,0.06528875752958138,0.0431871779682802,small_lesion_improvement,True,largest matched small-lesion Dice gain over Baseline among lesions detected by both models
BraTS20_Training_193,29758,0,38,0.0,97.73944955850733,0.0,True,0,0,,583,0.0,89.3420393767682,0.0,True,0,0,,8272,0.14599000788850908,51.17030366419685,0.2226252158894646,True,0,0,,0,,0.14599000788850908,46.56914589431048,0.2226252158894646,True,-7.227142243655982,,,,,,,,,,,,,,,,,,hd95_improvement,True,largest Full-vs-Baseline HD95 reduction
BraTS20_Training_260,17858,1,6763,0.5408391210755047,10.476142988503774,0.22429906542056074,True,0,1,0.0,9409,0.6863974768034621,8.170024180063328,0.3169968717413973,True,0,1,0.0,14808,0.870385109900202,5.0,0.7143426294820717,True,0,1,0.0,0,0.0,0.3295459888246973,5.476142988503774,0.49004356406151095,True,-5.108065469210535,,,,,,,,,,,,,,,,,,boundary_dice_improvement,True,largest Full-vs-Baseline Boundary Dice increase
BraTS20_Training_021,3003,0,6158,0.6368300403886039,2.8284271247461903,0.594228356336261,True,0,0,,7472,0.5605727923627685,4.242640687119285,0.4330727894479726,True,0,0,,7085,0.58406026962728,3.7416573867739413,0.49509322865554467,True,0,0,,0,,-0.05276977076132394,-0.913230262027751,-0.09913512768071636,True,1.8255881322407577,,,,,,,,,,,,,,,,,,regression,True,largest standardized HD95/Boundary Dice deterioration
