case_id,model_key,model,gt_et_voxels,pred_et_voxels,et_dice,hd95_mm,boundary_dice,boundary_valid,small_gt_lesions,small_detected_lesions,small_missed_lesions,small_gt_anchored_dice
BraTS20_Training_035,baseline,Baseline,24262,29460,0.7595398533189383,4.123105625617661,0.8041014379825742,True,1,0,1,0.0
BraTS20_Training_035,lhfc,LHFC,24262,34831,0.7650652361531822,2.23606797749979,0.7901154671480636,True,1,0,1,0.0
BraTS20_Training_035,full,Full,24262,36972,0.751575921873469,2.23606797749979,0.7673117276754489,True,1,0,1,0.0
BraTS20_Training_089,baseline,Baseline,18581,17049,0.9518383384788099,62.80127387243033,0.9333746513789898,True,1,0,1,0.0
BraTS20_Training_089,lhfc,LHFC,18581,16879,0.9483925549915397,5.0990195135927845,0.9298087061304413,True,1,0,1,0.0
BraTS20_Training_089,full,Full,18581,17588,0.9641958583317205,62.72997372335853,0.9484889087390204,True,1,0,1,0.0
BraTS20_Training_058,baseline,Baseline,6708,13650,0.5572256606739365,17.93180993493549,0.5465504451038575,True,0,0,0,
BraTS20_Training_058,lhfc,LHFC,6708,16002,0.5245266402465875,17.01175454637055,0.48351736922704924,True,0,0,0,
BraTS20_Training_058,full,Full,6708,15343,0.5381161852070201,12.68857754044952,0.5117056856187291,True,0,0,0,
BraTS20_Training_298,baseline,Baseline,94,81,0.48,23.3275859649317,0.754601226993865,True,3,1,2,0.14814814814814814
BraTS20_Training_298,lhfc,LHFC,94,76,0.5411764705882353,15.178803000639823,0.8106508875739645,True,3,2,1,0.3664419475655431
BraTS20_Training_298,full,Full,94,100,0.5360824742268041,20.109666545231953,0.8,True,3,2,1,0.3856209150326797
BraTS20_Training_206,baseline,Baseline,5096,4276,0.7863849765258216,5.875664527478046,0.7237654320987654,True,0,0,0,
BraTS20_Training_206,lhfc,LHFC,5096,5805,0.8531327401155857,17.38519158008664,0.7812157721796276,True,0,0,0,
BraTS20_Training_206,full,Full,5096,6033,0.8458981040524756,16.201698024072478,0.7688415446071905,True,0,0,0,
BraTS20_Training_093,baseline,Baseline,24337,23329,0.93949565728192,1.4142135623730951,0.9589370322049028,True,1,0,1,0.0
BraTS20_Training_093,lhfc,LHFC,24337,25164,0.9456374618694572,1.4142135623730951,0.9545795028941096,True,1,0,1,0.0
BraTS20_Training_093,full,Full,24337,25334,0.9453403394334723,1.4142135623730951,0.9531387553328368,True,1,0,1,0.0
BraTS20_Training_323,baseline,Baseline,4674,962,0.0,38.957668890779686,0.0,True,0,0,0,
BraTS20_Training_323,lhfc,LHFC,4674,395,0.0,39.408120990476064,0.0,True,0,0,0,
BraTS20_Training_323,full,Full,4674,618,0.0003779289493575208,39.102429592034305,0.0013573125212080082,True,0,0,0,
BraTS20_Training_309,baseline,Baseline,1976,2492,0.6056401074306177,36.56158755551159,0.6245458215583367,True,4,1,3,0.059490084985835696
BraTS20_Training_309,lhfc,LHFC,1976,2322,0.6272684969753374,20.285451557760364,0.6663924310983135,True,4,1,3,0.06501547987616099
BraTS20_Training_309,full,Full,1976,2321,0.6325343262741447,18.934082436570947,0.6768790849673203,True,4,1,3,0.07581227436823104
BraTS20_Training_030,baseline,Baseline,6149,7664,0.7875190038369652,15.112899702493511,0.7628510428641813,True,0,0,0,
BraTS20_Training_030,lhfc,LHFC,6149,8853,0.7530995867217705,3.605551275463989,0.6837932128131938,True,0,0,0,
BraTS20_Training_030,full,Full,6149,8733,0.7574250772745599,3.605551275463989,0.6972879761718138,True,0,0,0,
BraTS20_Training_231,baseline,Baseline,40450,31654,0.8669976700321758,3.7416573867739413,0.6862479196202922,True,0,0,0,
BraTS20_Training_231,lhfc,LHFC,40450,36315,0.920679997394646,4.260079425582451,0.8777559874012004,True,0,0,0,
BraTS20_Training_231,full,Full,40450,36943,0.9264920600054268,3.605551275463989,0.8825246686518363,True,0,0,0,
BraTS20_Training_071,baseline,Baseline,11713,8891,0.822461657930499,6.606715710967692,0.7216554940250656,True,0,0,0,
BraTS20_Training_071,lhfc,LHFC,11713,9964,0.8503944272731466,4.242640687119285,0.7833544214817939,True,0,0,0,
BraTS20_Training_071,full,Full,11713,9905,0.8566934961606069,4.123105625617661,0.8019787985865724,True,0,0,0,
BraTS20_Training_332,baseline,Baseline,1918,1637,0.860196905766526,1.7320508075688772,0.9115357395612173,True,1,1,0,0.044444444444444446
BraTS20_Training_332,lhfc,LHFC,1918,1929,0.8557317390174162,1.4142135623730951,0.9113924050632911,True,1,1,0,0.056338028169014086
BraTS20_Training_332,full,Full,1918,1914,0.8590814196242171,1.4142135623730951,0.915994623655914,True,1,1,0,0.03225806451612903
BraTS20_Training_018,baseline,Baseline,1695,2799,0.6933689363595905,16.583123951777,0.7397003745318352,True,0,0,0,
BraTS20_Training_018,lhfc,LHFC,1695,2795,0.6997772828507796,17.029386365926403,0.7484253427195258,True,0,0,0,
BraTS20_Training_018,full,Full,1695,2370,0.7503075030750308,15.456326443257062,0.8091692789968652,True,0,0,0,
BraTS20_Training_112,baseline,Baseline,48172,47820,0.9431827652304359,1.4142135623730951,0.9599777847200528,True,1,0,1,0.0
BraTS20_Training_112,lhfc,LHFC,48172,49770,0.9533805721753691,1.0,0.9701802108126487,True,1,0,1,0.0
BraTS20_Training_112,full,Full,48172,48855,0.9562286786152309,1.0,0.9766525166767738,True,1,0,1,0.0
BraTS20_Training_193,baseline,Baseline,29758,38,0.0,97.73944955850733,0.0,True,0,0,0,
BraTS20_Training_193,lhfc,LHFC,29758,583,0.0,89.3420393767682,0.0,True,0,0,0,
BraTS20_Training_193,full,Full,29758,8272,0.14599000788850908,51.17030366419685,0.2226252158894646,True,0,0,0,
BraTS20_Training_101,baseline,Baseline,13927,10635,0.8108460223108868,8.54400374531753,0.8256511444356748,True,3,0,3,0.0
BraTS20_Training_101,lhfc,LHFC,13927,12177,0.8674532638676065,5.916079783099616,0.8929292929292929,True,3,0,3,0.0
BraTS20_Training_101,full,Full,13927,11938,0.8706746568722211,5.0990195135927845,0.8985174203113417,True,3,0,3,0.0
BraTS20_Training_174,baseline,Baseline,25207,24169,0.9327608554763448,2.23606797749979,0.9124492669593307,True,1,0,1,0.0
BraTS20_Training_174,lhfc,LHFC,25207,24711,0.9340117793180817,2.0,0.9219910240718074,True,1,0,1,0.0
BraTS20_Training_174,full,Full,25207,24216,0.9300932764097687,2.23606797749979,0.9075125483419731,True,1,0,1,0.0
BraTS20_Training_026,baseline,Baseline,23676,25127,0.7211441919554126,6.164414002968976,0.5734619395203336,True,0,0,0,
BraTS20_Training_026,lhfc,LHFC,23676,29097,0.7282511890550092,5.0,0.5588415882112158,True,0,0,0,
BraTS20_Training_026,full,Full,23676,28564,0.7284456355283307,4.47213595499958,0.5777710661431592,True,0,0,0,
BraTS20_Training_223,baseline,Baseline,30477,29132,0.942038953849251,1.4142135623730951,0.940196394075982,True,0,0,0,
BraTS20_Training_223,lhfc,LHFC,30477,30118,0.9489561845036719,1.0,0.9622656311288931,True,0,0,0,
BraTS20_Training_223,full,Full,30477,30064,0.9488776201252044,1.0,0.9630843674393195,True,0,0,0,
BraTS20_Training_340,baseline,Baseline,30930,30296,0.9417241041387646,1.0,0.9802075532256339,True,0,0,0,
BraTS20_Training_340,lhfc,LHFC,30930,30359,0.9489141607792589,1.0,0.9779485290247881,True,0,0,0,
BraTS20_Training_340,full,Full,30930,30362,0.9525223520198395,1.0,0.9857492068445415,True,0,0,0,
BraTS20_Training_103,baseline,Baseline,37271,30301,0.8440182324039543,3.0,0.8277847214331705,True,0,0,0,
BraTS20_Training_103,lhfc,LHFC,37271,33053,0.8863830271315625,2.449489742783178,0.8812440401965819,True,0,0,0,
BraTS20_Training_103,full,Full,37271,31485,0.8790505555878759,2.449489742783178,0.883623971286662,True,0,0,0,
BraTS20_Training_021,baseline,Baseline,3003,6158,0.6368300403886039,2.8284271247461903,0.594228356336261,True,0,0,0,
BraTS20_Training_021,lhfc,LHFC,3003,7472,0.5605727923627685,4.242640687119285,0.4330727894479726,True,0,0,0,
BraTS20_Training_021,full,Full,3003,7085,0.58406026962728,3.7416573867739413,0.49509322865554467,True,0,0,0,
BraTS20_Training_060,baseline,Baseline,16172,16079,0.809463272456668,1.4142135623730951,0.933860022282994,True,0,0,0,
BraTS20_Training_060,lhfc,LHFC,16172,17069,0.8363767636352697,1.0,0.9557319567546508,True,0,0,0,
BraTS20_Training_060,full,Full,16172,17617,0.8412205155523987,1.0,0.9582790091264668,True,0,0,0,
BraTS20_Training_139,baseline,Baseline,4467,3809,0.8591106814886419,2.0,0.8725015142337977,True,0,0,0,
BraTS20_Training_139,lhfc,LHFC,4467,4017,0.8661008958038661,2.23606797749979,0.868774232031017,True,0,0,0,
BraTS20_Training_139,full,Full,4467,4052,0.882028407090034,1.7320508075688772,0.9073801822993237,True,0,0,0,
BraTS20_Training_038,baseline,Baseline,26254,26777,0.7951198355678754,2.0,0.8594459914993404,True,0,0,0,
BraTS20_Training_038,lhfc,LHFC,26254,27965,0.8178682749589627,1.7320508075688772,0.8823529411764706,True,0,0,0,
BraTS20_Training_038,full,Full,26254,27856,0.8294585104416928,1.4142135623730951,0.8968477241578302,True,0,0,0,
BraTS20_Training_205,baseline,Baseline,4439,3570,0.8845049319515546,1.4142135623730951,0.952183734939759,True,0,0,0,
BraTS20_Training_205,lhfc,LHFC,4439,3568,0.8842263019857625,1.4142135623730951,0.9579105599398722,True,0,0,0,
BraTS20_Training_205,full,Full,4439,3713,0.9006378802747792,1.0,0.9768915393216548,True,0,0,0,
BraTS20_Training_261,baseline,Baseline,9426,3080,0.42843435151127457,30.033314835362415,0.414000668821759,True,8,0,8,0.0
BraTS20_Training_261,lhfc,LHFC,9426,4644,0.5468372423596304,25.21308474374715,0.5638200183654729,True,8,0,8,0.0
BraTS20_Training_261,full,Full,9426,2233,0.35594819452783255,31.064449134018133,0.3584710743801653,True,8,0,8,0.0
BraTS20_Training_131,baseline,Baseline,8067,7427,0.8733703369046082,1.7320508075688772,0.906288316692941,True,0,0,0,
BraTS20_Training_131,lhfc,LHFC,8067,8278,0.8786784949525849,2.23606797749979,0.9223820675811308,True,0,0,0,
BraTS20_Training_131,full,Full,8067,8123,0.8826436071649166,2.23606797749979,0.9315431791811702,True,0,0,0,
