case_id,model_key,model,gt_et_voxels,pred_et_voxels,et_dice,hd95_mm,boundary_dice,boundary_valid,small_gt_lesions,small_detected_lesions,small_missed_lesions,small_gt_anchored_dice
BraTS20_Training_026,baseline,Baseline,23676,25263,0.7103128384315168,6.4031242374328485,0.5296580970050357,True,0,0,0,
BraTS20_Training_026,lhfc,LHFC,23676,25226,0.7340804057093779,4.898979485566356,0.6238171132582927,True,0,0,0,
BraTS20_Training_026,full,Full,23676,24261,0.7070947284978201,5.385164807134504,0.590110217456062,True,0,0,0,
BraTS20_Training_223,baseline,Baseline,30477,31182,0.9485395481600415,1.4142135623730951,0.93722874135991,True,0,0,0,
BraTS20_Training_223,lhfc,LHFC,30477,28951,0.9377061317897287,1.4142135623730951,0.9472683001065287,True,0,0,0,
BraTS20_Training_223,full,Full,30477,28842,0.9384177076484769,1.4142135623730951,0.9492970730583083,True,0,0,0,
BraTS20_Training_340,baseline,Baseline,30930,29026,0.9395223163653346,1.0,0.9854318981857568,True,0,0,0,
BraTS20_Training_340,lhfc,LHFC,30930,29890,0.9488326208484051,1.0,0.9861540045295449,True,0,0,0,
BraTS20_Training_340,full,Full,30930,28674,0.9406751224750016,1.0,0.984749226979718,True,0,0,0,
BraTS20_Training_103,baseline,Baseline,37271,31757,0.8553050935852118,3.0,0.8421588594704684,True,0,0,0,
BraTS20_Training_103,lhfc,LHFC,37271,34804,0.899091224419008,2.23606797749979,0.9059312697679377,True,0,0,0,
BraTS20_Training_103,full,Full,37271,33894,0.8935291224618843,2.23606797749979,0.8987938793879388,True,0,0,0,
BraTS20_Training_021,baseline,Baseline,3003,6475,0.5944292044735177,3.605551275463989,0.49543914516549387,True,0,0,0,
BraTS20_Training_021,lhfc,LHFC,3003,5781,0.613615664845173,3.1622776601683795,0.563903743315508,True,0,0,0,
BraTS20_Training_021,full,Full,3003,7435,0.5441655489557387,4.846838554130624,0.41502808988764045,True,0,0,0,
BraTS20_Training_060,baseline,Baseline,16172,17983,0.8176840872493046,1.4142135623730951,0.922429435483871,True,0,0,0,
BraTS20_Training_060,lhfc,LHFC,16172,16994,0.8417053609117772,1.0,0.9579212720573977,True,0,0,0,
BraTS20_Training_060,full,Full,16172,17197,0.8377835715784111,1.0,0.9571755316560416,True,0,0,0,
BraTS20_Training_139,baseline,Baseline,4467,4121,0.8728458313926409,2.8284271247461903,0.8538461538461538,True,0,0,0,
BraTS20_Training_139,lhfc,LHFC,4467,4151,0.8895335344627524,1.4142135623730951,0.9313923320841742,True,0,0,0,
BraTS20_Training_139,full,Full,4467,4060,0.8781517532543685,1.4142135623730951,0.9020937776467118,True,0,0,0,
BraTS20_Training_038,baseline,Baseline,26254,25981,0.736938834115057,8.324616783644835,0.7769741697416974,True,0,0,0,
BraTS20_Training_038,lhfc,LHFC,26254,25938,0.7700413856529736,2.8284271247461903,0.8389445273101783,True,0,0,0,
BraTS20_Training_038,full,Full,26254,26405,0.790899941130671,2.23606797749979,0.8581861783300633,True,0,0,0,
BraTS20_Training_205,baseline,Baseline,4439,3772,0.906832298136646,1.0,0.9681528662420382,True,0,0,0,
BraTS20_Training_205,lhfc,LHFC,4439,3512,0.8776254559174946,1.4142135623730951,0.9413489736070382,True,0,0,0,
BraTS20_Training_205,full,Full,4439,3391,0.8628352490421456,1.4142135623730951,0.9070025935531678,True,0,0,0,
BraTS20_Training_261,baseline,Baseline,9426,4304,0.5158048069919884,14.45683229480096,0.5270116723478979,True,8,0,8,0.0
BraTS20_Training_261,lhfc,LHFC,9426,5056,0.59245960502693,8.12403840463596,0.6480795476701111,True,8,0,8,0.0
BraTS20_Training_261,full,Full,9426,5164,0.5680603152844415,14.45683229480096,0.6091617933723197,True,8,0,8,0.0
BraTS20_Training_131,baseline,Baseline,8067,7646,0.8740533316362248,2.0,0.8937754921085299,True,0,0,0,
BraTS20_Training_131,lhfc,LHFC,8067,8196,0.8855684683022812,2.449489742783178,0.9315558445781174,True,0,0,0,
BraTS20_Training_131,full,Full,8067,8252,0.8887799497518231,2.23606797749979,0.9300916830386379,True,0,0,0,
BraTS20_Training_337,baseline,Baseline,27216,24469,0.8879171906742769,4.123105625617661,0.9175577785443256,True,0,0,0,
BraTS20_Training_337,lhfc,LHFC,27216,24915,0.9028792848784792,3.605551275463989,0.9359095970635543,True,0,0,0,
BraTS20_Training_337,full,Full,27216,24478,0.893333849189461,4.123105625617661,0.9248054230479538,True,0,0,0,
BraTS20_Training_260,baseline,Baseline,17858,16158,0.886406396989652,4.58257569495584,0.7451332320861521,True,1,0,1,0.0
BraTS20_Training_260,lhfc,LHFC,17858,13262,0.8345115681233933,5.074264635194588,0.5932383867962199,True,1,0,1,0.0
BraTS20_Training_260,full,Full,17858,12437,0.8002640699785443,5.385164807134504,0.5130974885228193,True,1,0,1,0.0
BraTS20_Training_216,baseline,Baseline,17097,21213,0.739180370660402,3.0,0.7952612393681653,True,3,0,3,0.0
BraTS20_Training_216,lhfc,LHFC,17097,24313,0.7262496981405457,3.1622776601683795,0.7758297093156329,True,3,0,3,0.0
BraTS20_Training_216,full,Full,17097,24325,0.7322678769735889,3.1622776601683795,0.7784251167522079,True,3,0,3,0.0
BraTS20_Training_200,baseline,Baseline,4539,4352,0.8950624226746148,2.0,0.9153184165232358,True,0,0,0,
BraTS20_Training_200,lhfc,LHFC,4539,4333,0.8866095581605049,2.0,0.9076770350761085,True,0,0,0,
BraTS20_Training_200,full,Full,4539,4290,0.8854909955827387,2.0,0.9021956087824351,True,0,0,0,
BraTS20_Training_155,baseline,Baseline,29300,26360,0.9101688825008983,1.7320508075688772,0.9303888147818784,True,1,0,1,0.0
BraTS20_Training_155,lhfc,LHFC,29300,26513,0.9344776306595237,1.4142135623730951,0.9634451445515196,True,1,0,1,0.0
BraTS20_Training_155,full,Full,29300,25562,0.9137107651926653,1.4142135623730951,0.9500047032264133,True,1,0,1,0.0
BraTS20_Training_339,baseline,Baseline,38523,40671,0.9231759981816804,1.6049159094901018,0.9498784161434326,True,0,0,0,
BraTS20_Training_339,lhfc,LHFC,38523,39818,0.9398654599762576,1.4142135623730951,0.9604417109309478,True,0,0,0,
BraTS20_Training_339,full,Full,38523,39322,0.9351403429892735,1.4142135623730951,0.9608507036292456,True,0,0,0,
BraTS20_Training_248,baseline,Baseline,36340,39635,0.8759460348798948,1.4142135623730951,0.8933111603843311,True,2,1,1,0.24444444444444444
BraTS20_Training_248,lhfc,LHFC,36340,39679,0.8874623449400808,1.4142135623730951,0.9241269841269841,True,2,0,2,0.0
BraTS20_Training_248,full,Full,36340,39365,0.8843537414965986,1.4142135623730951,0.9258466259857974,True,2,0,2,0.0
BraTS20_Training_267,baseline,Baseline,5256,5032,0.8576982892690513,14.881186802613275,0.8899463152757443,True,0,0,0,
BraTS20_Training_267,lhfc,LHFC,5256,4939,0.8694458067680235,16.623717573717215,0.9162401116798511,True,0,0,0,
BraTS20_Training_267,full,Full,5256,4888,0.8732255520504731,15.0,0.9288565390936839,True,0,0,0,
BraTS20_Training_360,baseline,Baseline,40064,43288,0.9340867645647375,2.0,0.9279971413257102,True,0,0,0,
BraTS20_Training_360,lhfc,LHFC,40064,42977,0.924434917691261,3.0,0.9117732861012711,True,0,0,0,
BraTS20_Training_360,full,Full,40064,42076,0.9289018748478208,2.8284271247461903,0.9219626168224299,True,0,0,0,
