train_loss,valid_loss,train_dice,valid_dice,train_jaccard,valid_jaccard,train_time,valid_time
0.2862501632030836,0.2633335936713863,0.7984917,0.79994655,0.6804539,0.68382293,177.59,36.01
0.22117617743720341,0.27711137233150973,0.8375766,0.7739495,0.73018706,0.65039355,159.65,30.73
0.20159538032247862,0.22989325567677216,0.8472347,0.81208336,0.74376327,0.70136863,160.09,31.62
0.1767008737425396,0.20832049172069575,0.8640999,0.8280239,0.7669769,0.7205038,166.57,32.07
0.15886226235544634,0.20070861592083364,0.8766578,0.83188325,0.7855415,0.73067826,160.51,32.03
0.15478636569376122,0.1992217102969015,0.878636,0.83267295,0.7883876,0.7306011,162.39,29.66
0.15693973428080518,0.20328528439072338,0.87515277,0.8267222,0.78393936,0.7233738,148.62,27.28
0.15171202231589923,0.2115384617669357,0.87913877,0.8192975,0.78929263,0.71157384,154.09,28.93
0.14804886266995032,0.2126715928819534,0.8812611,0.8182749,0.79256,0.7143183,162.86,31.13
0.14069771395583097,0.17513665541805126,0.8866576,0.85266626,0.8028848,0.75449944,161.08,29.61
0.13143497298141862,0.17299160945254402,0.8948089,0.85438097,0.8135211,0.75683236,153.82,29.28
0.12969242082727558,0.17256069148110376,0.8963262,0.8545698,0.8157168,0.75732267,158.9,29.99
0.12835958442045556,0.1723445091597937,0.8974291,0.8545965,0.81737185,0.7576592,148.61,27.25
0.12733570876230527,0.17234368702849825,0.8982537,0.854447,0.8186358,0.7578125,147.53,26.77
0.1264409759455154,0.17241385251887748,0.89896274,0.8542043,0.81973064,0.7579036,138.77,25.1
0.12559351207623223,0.17245273594115232,0.8996212,0.85391057,0.82075065,0.758024,139.57,26.6
0.1232716552768236,0.17261550359025196,0.90149766,0.8537054,0.8237058,0.7580875,148.16,27.81
0.12301378179674946,0.17280883135626446,0.9016988,0.85349286,0.8240204,0.7579264,148.16,28.33
0.12287333172814856,0.17294165592741323,0.9018192,0.8533253,0.82420534,0.75780535,151.95,28.76
0.12260604014888347,0.17296041855336847,0.9020453,0.85330236,0.82456523,0.75779384,150.45,27.93
0.12259355319323242,0.17297521233558655,0.9020532,0.8532835,0.82457733,0.7577799,146.41,27.02
0.12258076976535386,0.17299421418558908,0.90206176,0.85326296,0.82459056,0.75776565,145.8,28.45
0.12255427429764187,0.17299409115032569,0.9020842,0.8532638,0.8246263,0.7577687,156.78,30.9
0.12255309161219152,0.17299687127406532,0.9020854,0.85325474,0.82462835,0.7577597,157.02,29.71
0.12255170397779357,0.17299837946287683,0.9020859,0.8532549,0.8246291,0.7577612,152.12,28.84
0.12254872819560975,0.17299821409019264,0.90208924,0.8532567,0.8246345,0.7577635,152.2,28.45
0.12254857184937956,0.17299871393353553,0.9020891,0.8532551,0.8246342,0.7577615,150.65,28.87
0.1225485136652735,0.17299810877522906,0.90208906,0.8532537,0.82463413,0.7577599,151.57,26.18
0.12254837011838701,0.1729992092964617,0.90208906,0.8532533,0.82463425,0.7577597,141.47,25.67
0.12254821303289688,0.17299945934398755,0.90208983,0.85325295,0.8246353,0.7577589,140.8,27.74
0.12254811142089302,0.17299975766926198,0.90208966,0.8532523,0.8246351,0.7577587,157.04,30.4
0.12254808076334835,0.17299936676548944,0.90208966,0.8532539,0.8246352,0.7577608,157.33,28.01
0.12254792760608262,0.172999526801947,0.90209013,0.8532539,0.82463574,0.7577602,147.53,27.77
0.12254781747084648,0.1729993942017491,0.9020894,0.85325336,0.8246346,0.7577604,147.24,25.43
0.12254768928897056,0.17299980640008644,0.9020898,0.8532534,0.8246352,0.7577608,139.63,24.64
0.12254756839822703,0.17300000560243387,0.9020899,0.8532549,0.8246353,0.7577623,140.4,27.9
0.12254746967078647,0.17299970677374182,0.90209055,0.85325396,0.8246365,0.7577611,148.55,28.62
0.12254731965899932,0.17300015904412075,0.90209013,0.8532553,0.8246358,0.757762,149.14,29.18
