epoch,learning_rate,train_loss,valid_loss,alpha
0,0.0005,,,0.0
1,0.0005,0.2862501632030836,0.2633335936713863,-0.001917084795422852
2,0.0005,0.22117617743720341,0.27711137233150973,-0.0004403007042128593
3,0.0005,0.20159538032247862,0.22989325567677216,-0.0003963178605772555
4,0.0005,0.1767008737425396,0.20832049172069575,-0.00019965923274867237
5,0.0005,0.15886226235544634,0.20070861592083364,-0.0008761000935919583
6,0.0005,0.15478636569376122,0.1992217102969015,-0.002345162909477949
7,0.0005,0.15693973428080518,0.20328528439072338,-6.10343340667896e-05
8,0.0005,0.15171202231589923,0.2115384617669357,-2.164870238630101e-07
9,5e-05,0.14804886266995032,0.2126715928819534,-0.0009008258348330855
10,5e-05,0.14069771395583097,0.17513665541805126,-0.001031899475492537
11,5e-05,0.13143497298141862,0.17299160945254402,-0.0011246727081015706
12,5e-05,0.12969242082727558,0.17256069148110376,-0.0012101634638383985
13,5e-05,0.12835958442045556,0.1723445091597937,-0.0012946551432833076
14,5e-05,0.12733570876230527,0.17234368702849825,-0.001403756788931787
15,5e-05,0.1264409759455154,0.17241385251887748,-0.0015434118686243892
16,5e-06,0.12559351207623223,0.17245273594115232,-0.001706870156340301
17,5e-06,0.1232716552768236,0.17261550359025196,-0.0017231134697794914
18,5e-06,0.12301378179674946,0.17280883135626446,-0.0017400612123310566
19,5.000000000000001e-07,0.12287333172814856,0.17294165592741323,-0.0017603621818125248
20,5.000000000000001e-07,0.12260604014888347,0.17296041855336847,-0.0017625485779717565
21,5.000000000000001e-07,0.12259355319323242,0.17297521233558655,-0.0017648463835939765
22,5.000000000000001e-08,0.12258076976535386,0.17299421418558908,-0.0017672168323770165
23,5.000000000000001e-08,0.12255427429764187,0.17299409115032569,-0.001767461304552853
24,5.000000000000001e-08,0.12255309161219152,0.17299687127406532,-0.0017677128780633211
25,5.000000000000002e-09,0.12255170397779357,0.17299837946287683,-0.0017679723678156734
26,5.000000000000002e-09,0.12254872819560975,0.17299821409019264,-0.00176799891050905
27,5.000000000000002e-09,0.12254857184937956,0.17299871393353553,-0.0017680262681096792
28,5.000000000000002e-09,0.1225485136652735,0.17299810877522906,-0.0017680542077869177
29,5.000000000000002e-09,0.12254837011838701,0.1729992092964617,-0.0017680828459560871
30,5.000000000000002e-09,0.12254821303289688,0.17299945934398755,-0.0017681126482784748
31,5.000000000000002e-09,0.12254811142089302,0.17299975766926198,-0.0017681433819234371
32,5.000000000000002e-09,0.12254808076334835,0.17299936676548944,-0.0017681742319837213
33,5.000000000000002e-09,0.12254792760608262,0.172999526801947,-0.0017682054312899709
34,5.000000000000002e-09,0.12254781747084648,0.1729993942017491,-0.001768237678334117
35,5.000000000000002e-09,0.12254768928897056,0.17299980640008644,-0.0017682708567008376
36,5.000000000000002e-09,0.12254756839822703,0.17300000560243387,-0.0017683045007288456
37,5.000000000000002e-09,0.12254746967078647,0.17299970677374182,-0.001768338494002819
38,5.000000000000002e-09,0.12254731965899932,0.17300015904412075,-0.0017683731857687235
