case_id,seeds_evaluated,comparable_seeds,both_improved_seeds,hd95_improved_seeds,boundary_dice_improved_seeds,mean_hd95_reduction_mm,std_hd95_reduction_mm,mean_boundary_dice_gain,std_boundary_dice_gain,seed42_hd95_improvement,seed42_boundary_dice_improvement,seed42_all_models_boundary_valid,seed55_hd95_improvement,seed55_boundary_dice_improvement,seed55_all_models_boundary_valid,seed123_hd95_improvement,seed123_boundary_dice_improvement,seed123_all_models_boundary_valid,all_seeds_both_improved
BraTS20_Training_298,3,3,3,3,3,4.611084546136976,3.432684386572049,0.40180778749974727,0.317068456220169,3.217919419699747,0.045398773006135,True,8.521331730263453,0.5074735690849435,True,2.0940024884477264,0.6525510204081633,True,True
BraTS20_Training_332,3,3,3,3,3,0.6447919400239898,0.3129911322276417,0.12593563533790195,0.11571139663699792,0.317837245195782,0.0044588840946967,True,0.6748941791888918,0.1384902326494552,True,0.9416443956872952,0.2348577892695539,True,True
BraTS20_Training_038,3,3,3,3,3,5.135523699416479,4.156001944882551,0.094819722331511,0.06529412667754966,0.5857864376269049,0.0374017326584897,True,6.088548806145045,0.0812120085883658,True,8.732235854477487,0.1658454257476775,True,True
BraTS20_Training_101,3,3,3,3,3,1.6171060195831608,1.58548650534565,0.09446913176541953,0.061158182049319956,3.444984231724746,0.0728662758756669,True,0.7921241493997533,0.0470441851483098,True,0.6142096776249835,0.1634969342722819,True,True
BraTS20_Training_103,3,3,3,3,3,0.668286013180154,0.1084182029875107,0.09401146125172798,0.06542826231660082,0.5505102572168221,0.0558392498534915,True,0.7639320225002102,0.0566350199174703,True,0.6904157598234297,0.1695601139842221,True,True
BraTS20_Training_071,3,3,3,3,3,3.910975204992639,4.072243425367379,0.08243904357377346,0.048761777314362174,2.483610085350032,0.0803233045615068,True,0.7445626465380286,0.0347695730829459,True,8.504752883089857,0.1322242530768677,True,True
BraTS20_Training_026,3,3,3,3,3,2.1484394706368097,1.4148320566878339,0.07693222294579384,0.08211299512661248,1.6922780479693964,0.0043091266228255,True,1.0179594302983448,0.0604521204510262,True,3.735080933642689,0.1660354217635298,True,True
BraTS20_Training_060,3,3,3,3,3,0.550093846624295,0.23535155606997932,0.06116377476580346,0.05494347257915985,0.4142135623730951,0.0244189868434727,True,0.4142135623730951,0.0347460961721706,True,0.8218544151266947,0.1243262412817671,True,True
BraTS20_Training_139,3,3,3,3,3,0.758173967350206,0.5908480493106157,0.047519514389212036,0.012292974412984268,0.2679491924311228,0.0348786680655259,True,1.4142135623730951,0.048247623800558,True,0.5923591472464005,0.0594322513015522,True,True
BraTS20_Training_112,3,3,3,3,3,0.7593056225097894,0.597716981445369,0.047385845541668636,0.0458206838022989,0.4142135623730951,0.0166747319567209,True,0.4142135623730951,0.0254297997031969,True,1.449489742783178,0.1000530049650881,True,True
BraTS20_Training_018,3,3,2,2,3,3.751173230415174,5.911821443836538,0.15449149141188753,0.12380855008932526,1.1267975085199389,0.0694689044650299,True,-0.3941220131965508,0.0974692384958252,True,10.520844195922134,0.2965363312748075,True,False
BraTS20_Training_206,3,3,2,2,3,-2.743414171693329,6.575211765628935,0.1389396597204858,0.09400448813869423,-10.326033496594432,0.045076112508425,True,0.7142446356820114,0.1386584089709972,True,1.3815463458324349,0.2330844576820352,True,False
BraTS20_Training_260,3,3,2,2,2,1.6711629613872219,3.3443601923643103,0.08842494993568173,0.36781732923469584,5.476142988503774,0.4900435640615109,True,-0.8025891121786639,-0.2320357435633327,True,0.339935007836555,0.007267029308867,True,False
BraTS20_Training_267,3,3,2,2,3,5.248346988155181,9.080159266339622,0.08096613536875509,0.06545298066529183,0.1316395247431181,0.047610565093588,True,-0.118813197386725,0.0389102238179396,True,15.732214637109152,0.1563776171947377,True,False
BraTS20_Training_155,3,3,2,2,3,0.43927908173192737,0.5109413760363843,0.045039691661406596,0.041905982346783076,0.0,0.0220958219425913,True,0.317837245195782,0.0196158884445348,True,1.0,0.0934073645970937,True,False
