seed,protocol,case_id,gt_et_voxels,small_gt_lesions,baseline_pred_et_voxels,baseline_et_dice,baseline_hd95_mm,baseline_boundary_dice,baseline_boundary_valid,baseline_small_detected_lesions,baseline_small_missed_lesions,baseline_small_gt_anchored_dice,lhfc_pred_et_voxels,lhfc_et_dice,lhfc_hd95_mm,lhfc_boundary_dice,lhfc_boundary_valid,lhfc_small_detected_lesions,lhfc_small_missed_lesions,lhfc_small_gt_anchored_dice,full_pred_et_voxels,full_et_dice,full_hd95_mm,full_boundary_dice,full_boundary_valid,full_small_detected_lesions,full_small_missed_lesions,full_small_gt_anchored_dice,small_detection_gain,small_dice_gain,et_dice_gain,hd95_improvement,boundary_dice_improvement,all_models_boundary_valid,regression_score
42,stability_runner,BraTS20_Training_018,1695,0,2799,0.6933689363595905,16.583123951777,0.7397003745318352,True,0,0,,2795,0.6997772828507796,17.029386365926403,0.7484253427195258,True,0,0,,2370,0.7503075030750308,15.456326443257062,0.8091692789968652,True,0,0,,0,,0.0569385667154402,1.1267975085199389,0.0694689044650299,True,-0.1839296892330991
42,stability_runner,BraTS20_Training_021,3003,0,6158,0.6368300403886039,2.8284271247461903,0.594228356336261,True,0,0,,7472,0.5605727923627685,4.242640687119285,0.4330727894479726,True,0,0,,7085,0.58406026962728,3.741657386773941,0.4950932286555446,True,0,0,,0,,-0.0527697707613239,-0.913230262027751,-0.0991351276807163,True,1.8255881322407577
42,stability_runner,BraTS20_Training_026,23676,0,25127,0.7211441919554126,6.164414002968976,0.5734619395203336,True,0,0,,29097,0.7282511890550092,5.0,0.5588415882112158,True,0,0,,28564,0.7284456355283307,4.47213595499958,0.5777710661431592,True,0,0,,0,,0.0073014435729181,1.6922780479693964,0.0043091266228255,True,0.4306159611675471
42,stability_runner,BraTS20_Training_030,6149,0,7664,0.7875190038369652,15.112899702493513,0.7628510428641813,True,0,0,,8853,0.7530995867217705,3.605551275463989,0.6837932128131938,True,0,0,,8733,0.7574250772745599,3.605551275463989,0.6972879761718138,True,0,0,,0,,-0.0300939265624052,11.50734842702952,-0.0655630666923674,True,-0.012712224051196
42,stability_runner,BraTS20_Training_035,24262,1,29460,0.7595398533189383,4.123105625617661,0.8041014379825742,True,0,1,0.0,34831,0.7650652361531822,2.23606797749979,0.7901154671480636,True,0,1,0.0,36972,0.751575921873469,2.23606797749979,0.7673117276754489,True,0,1,0.0,0,0.0,-0.0079639314454692,1.8870376481178708,-0.0367897103071253,True,0.8376155326617207
42,stability_runner,BraTS20_Training_038,26254,0,26777,0.7951198355678754,2.0,0.8594459914993404,True,0,0,,27965,0.8178682749589627,1.7320508075688772,0.8823529411764706,True,0,0,,27856,0.8294585104416928,1.4142135623730951,0.8968477241578302,True,0,0,,0,,0.0343386748738174,0.5857864376269049,0.0374017326584897,True,0.2165812927164563
42,stability_runner,BraTS20_Training_058,6708,0,13650,0.5572256606739365,17.93180993493549,0.5465504451038575,True,0,0,,16002,0.5245266402465875,17.01175454637055,0.4835173692270492,True,0,0,,15343,0.5381161852070201,12.68857754044952,0.5117056856187291,True,0,0,,0,,-0.0191094754669164,5.24323239448597,-0.0348447594851284,True,0.4155012539400943
42,stability_runner,BraTS20_Training_060,16172,0,16079,0.809463272456668,1.4142135623730951,0.933860022282994,True,0,0,,17069,0.8363767636352697,1.0,0.9557319567546508,True,0,0,,17617,0.8412205155523987,1.0,0.9582790091264668,True,0,0,,0,,0.0317572430957306,0.4142135623730951,0.0244189868434727,True,0.3730512295631258
42,stability_runner,BraTS20_Training_071,11713,0,8891,0.822461657930499,6.606715710967692,0.7216554940250656,True,0,0,,9964,0.8503944272731466,4.242640687119285,0.7833544214817939,True,0,0,,9905,0.8566934961606069,4.123105625617661,0.8019787985865724,True,0,0,,0,,0.0342318382301078,2.483610085350032,0.0803233045615068,True,-0.4599934630597953
42,stability_runner,BraTS20_Training_089,18581,1,17049,0.95183833847881,62.80127387243033,0.9333746513789898,True,0,1,0.0,16879,0.9483925549915396,5.0990195135927845,0.9298087061304412,True,0,1,0.0,17588,0.9641958583317204,62.72997372335853,0.9484889087390204,True,0,1,0.0,0,0.0,0.0123575198529105,0.0713001490717957,0.0151142573600305,True,0.5115217592012441
42,stability_runner,BraTS20_Training_093,24337,1,23329,0.93949565728192,1.4142135623730951,0.9589370322049028,True,0,1,0.0,25164,0.9456374618694572,1.4142135623730951,0.9545795028941096,True,0,1,0.0,25334,0.9453403394334724,1.4142135623730951,0.9531387553328368,True,0,1,0.0,0,0.0,0.0058446821515523,0.0,-0.005798276872066,True,0.7390151206304734
42,stability_runner,BraTS20_Training_101,13927,3,10635,0.8108460223108868,8.54400374531753,0.8256511444356748,True,0,3,0.0,12177,0.8674532638676065,5.916079783099616,0.8929292929292929,True,0,3,0.0,11938,0.8706746568722211,5.0990195135927845,0.8985174203113417,True,0,3,0.0,0,0.0,0.0598286345613343,3.444984231724746,0.0728662758756669,True,-0.496997293556295
42,stability_runner,BraTS20_Training_103,37271,0,30301,0.8440182324039543,3.0,0.8277847214331705,True,0,0,,33053,0.8863830271315625,2.449489742783178,0.8812440401965819,True,0,0,,31485,0.8790505555878759,2.449489742783178,0.883623971286662,True,0,0,,0,,0.0350323231839215,0.5505102572168221,0.0558392498534915,True,0.0277594807051148
42,stability_runner,BraTS20_Training_112,48172,1,47820,0.943182765230436,1.4142135623730951,0.9599777847200528,True,0,1,0.0,49770,0.9533805721753692,1.0,0.9701802108126488,True,0,1,0.0,48855,0.9562286786152308,1.0,0.9766525166767738,True,0,1,0.0,0,0.0,0.0130459133847949,0.4142135623730951,0.0166747319567209,True,0.454135136613308
42,stability_runner,BraTS20_Training_131,8067,0,7427,0.8733703369046082,1.7320508075688772,0.906288316692941,True,0,0,,8278,0.8786784949525849,2.23606797749979,0.9223820675811308,True,0,0,,8123,0.8826436071649166,2.23606797749979,0.9315431791811702,True,0,0,,0,,0.0092732702603084,-0.5040171699309126,0.0252548624882292,True,0.4742154214784434
42,stability_runner,BraTS20_Training_139,4467,0,3809,0.8591106814886419,2.0,0.8725015142337977,True,0,0,,4017,0.8661008958038661,2.23606797749979,0.868774232031017,True,0,0,,4052,0.882028407090034,1.7320508075688772,0.9073801822993236,True,0,0,,0,,0.0229177256013921,0.2679491924311228,0.0348786680655259,True,0.2810447062782821
42,stability_runner,BraTS20_Training_155,29300,1,25598,0.902947284054064,2.23606797749979,0.9234757465476844,True,0,1,0.0,29016,0.9225941422594144,1.7320508075688772,0.9453781512605042,True,0,1,0.0,28358,0.9218495265184364,2.23606797749979,0.9455715684902756,True,0,1,0.0,0,0.0,0.0189022424643724,0.0,0.0220958219425913,True,0.4469582928773603
42,stability_runner,BraTS20_Training_174,25207,1,24169,0.9327608554763448,2.23606797749979,0.9124492669593308,True,0,1,0.0,24711,0.9340117793180815,2.0,0.9219910240718074,True,0,1,0.0,24216,0.9300932764097688,2.23606797749979,0.9075125483419731,True,0,1,0.0,0,0.0,-0.0026675790665761,0.0,-0.0049367186173575,True,0.7299944323312535
