train_loss,valid_loss,train_dice,valid_dice,train_jaccard,valid_jaccard,train_time,valid_time
0.29028531390057466,0.2569043385620053,0.79407513,0.80856574,0.67608017,0.6986751,281.94,44.48
0.20315837190424885,0.21773826069123037,0.8556543,0.8315802,0.75397027,0.7270936,281.56,47.38
0.179482861715532,0.20941179809538094,0.8675841,0.8335188,0.77290684,0.7281782,283.02,46.47
0.15920373050909098,0.21011256124522235,0.88068086,0.8263837,0.79116154,0.7236313,283.72,45.55
0.14996666681557777,0.22714455123688723,0.88496536,0.80833966,0.7977685,0.69681996,279.03,47.4
0.1459563112299498,0.230987105619263,0.8863786,0.8026504,0.80016375,0.6909254,292.54,45.84
0.13725898978717133,0.18095776665250998,0.8918951,0.8490161,0.80918276,0.75346935,267.95,41.35
0.12627477972887832,0.17981557915540966,0.90179914,0.8498297,0.82421196,0.75511605,270.71,41.11
0.12398472399331252,0.1789775587416984,0.9037616,0.8503986,0.8272319,0.75614035,283.73,47.76
0.12233685141117656,0.1782431328115431,0.9050658,0.8508955,0.82926744,0.75699925,280.59,44.87
0.12085539350423831,0.17729420416258476,0.90615404,0.8512983,0.830982,0.75769776,278.49,44.15
0.1191894144167696,0.176582468220511,0.9071275,0.851656,0.83252525,0.75832164,279.0,42.6
0.11785684666570986,0.17603550629841314,0.90803605,0.8519803,0.8339735,0.75891143,280.36,43.24
0.11660892584502465,0.17552685707404808,0.9089162,0.8522386,0.8353827,0.75941586,277.27,43.29
0.1154219238413679,0.1750373592650568,0.9097508,0.8525224,0.8367237,0.7599419,287.42,43.33
0.11426761230374125,0.17456866377914274,0.9105714,0.8528102,0.83804435,0.76046985,285.0,41.76
0.11314844089317415,0.17410567835778804,0.9113564,0.8531176,0.83931404,0.76102304,272.3,40.03
0.11204350401977158,0.1736683840989261,0.9121544,0.8533785,0.840611,0.7615055,201.01,31.82
0.11095754009334494,0.17324253086101365,0.9129246,0.8535847,0.8418715,0.76190937,213.03,33.46
0.10988798649104653,0.17279651202261448,0.9137054,0.8538412,0.84315133,0.76237875,213.35,33.62
0.10883480801830496,0.1724128819800712,0.9144654,0.85409564,0.8444041,0.7628379,208.16,34.84
0.10780520112424045,0.17209911764272162,0.9152074,0.8543162,0.84562916,0.7632549,206.58,35.73
0.10678028029748438,0.1718128201224514,0.91595155,0.8544511,0.846859,0.76356333,217.4,36.87
0.10578310296867144,0.1716259420421478,0.91667885,0.85456103,0.8480642,0.76382923,220.13,36.76
0.10480771125348626,0.1714910392624301,0.9173883,0.85456795,0.84924364,0.7639842,210.58,35.96
0.10380289979018126,0.1713461573361545,0.91811633,0.8546383,0.8504519,0.7641735,213.6,38.1
0.10285930473226981,0.1713140984443394,0.91881293,0.85459197,0.8516114,0.7642132,213.99,37.73
0.10190910357503576,0.1712817274336074,0.9194856,0.8545507,0.8527289,0.76431966,213.88,31.91
0.10114361266043863,0.171042780165334,0.9200188,0.854735,0.85362947,0.7644881,163.99,31.97
0.10048457709093966,0.17119973439823938,0.92043394,0.85481673,0.85431916,0.76496345,165.02,31.48
0.10057330254740753,0.1711494075889523,0.92026,0.8542439,0.85409033,0.7638455,161.07,31.12
0.10073031079212515,0.17142510902438615,0.91987723,0.8546843,0.85346454,0.76473975,160.62,31.66
0.099683645547364,0.17060616501682513,0.9207152,0.8551335,0.8549959,0.76524603,165.18,32.25
0.09839750282785308,0.17020019460972902,0.9219212,0.85540634,0.85686445,0.7655563,163.97,31.4
0.0978975405170064,0.16989069059491158,0.92236316,0.8556154,0.85757613,0.76582825,161.33,31.36
0.09758144949022898,0.16964411211980357,0.922622,0.8558236,0.8580004,0.7661129,162.04,27.68
0.09734875339188465,0.169439115536374,0.9228163,0.8559763,0.85831964,0.76632106,146.06,26.36
0.09715364251561202,0.1692548767739051,0.92296124,0.85612553,0.85855967,0.7665211,145.92,25.92
0.09697777282171212,0.16909919900668635,0.92309606,0.8562654,0.8587834,0.7667135,162.3,31.63
0.09681764308812553,0.16896282614687005,0.92322266,0.85638887,0.858995,0.76688445,161.81,31.84
0.09666679554586281,0.1688448867282352,0.9233341,0.85648406,0.8591816,0.7670125,163.74,32.55
0.09652217708035202,0.16874494891915773,0.92344475,0.8565749,0.8593671,0.767136,165.2,31.23
0.09638114666370566,0.16865116267188177,0.9235531,0.8566429,0.85954875,0.7672307,162.22,31.62
0.09624647143286026,0.16857492848223932,0.92365074,0.85670257,0.8597125,0.7673148,162.41,30.31
0.09611355782946723,0.1685046472058103,0.923752,0.8567672,0.8598823,0.76740074,158.52,30.51
0.09598372609930743,0.16844651898419535,0.9238536,0.8568152,0.8600522,0.76747125,159.36,31.36
0.09585532967856422,0.1683937442564481,0.9239534,0.8568473,0.86021996,0.7675189,161.73,31.77
0.09572793591173243,0.16834521640998287,0.92405003,0.856888,0.8603821,0.7675762,161.86,31.13
0.0956024421589152,0.16830593251900092,0.9241463,0.8569066,0.8605436,0.7676073,159.83,31.1
0.09548009850867527,0.1682731444267808,0.9242447,0.8569427,0.86070853,0.76766145,160.45,31.22
0.0953567845580179,0.16824283778063348,0.9243365,0.85694945,0.86086345,0.7676772,161.17,31.49
0.09523380228865472,0.16821509030823772,0.9244272,0.8569708,0.8610164,0.7677129,161.12,31.74
0.09511548608309564,0.16818710159812425,0.9245158,0.8569724,0.8611655,0.7677211,161.43,31.04
0.09499391079934655,0.16816648931519404,0.92460644,0.8569812,0.86131805,0.76773876,162.03,32.16
0.09487293782401178,0.16814235336071737,0.9246966,0.8569941,0.8614698,0.7677612,164.48,32.05
0.09475275091392057,0.1681267278319275,0.9247893,0.85701174,0.8616258,0.7677883,164.66,31.64
0.09462998458093706,0.16810878134659818,0.9248822,0.85702914,0.86178267,0.76781684,160.49,30.85
0.0945075463054245,0.16808624283687487,0.9249703,0.8570411,0.86193186,0.7678365,160.4,30.68
0.09438695591885292,0.16807684986977964,0.92505974,0.8570319,0.8620832,0.7678303,159.32,30.98
0.09426605008571529,0.16807134248114922,0.925149,0.85703003,0.8622343,0.76783407,161.64,30.94
0.09414389016331402,0.16805949283612742,0.9252432,0.8570338,0.862394,0.76784194,160.15,30.7
0.09402297032772335,0.1680391865304193,0.92533296,0.8570462,0.8625456,0.7678654,160.06,30.96
0.09390418443118552,0.16802434250712395,0.9254226,0.8570403,0.8626975,0.7678603,160.14,31.34
0.09378254607841663,0.16801812791743795,0.92551476,0.8570345,0.8628534,0.7678571,160.43,29.93
0.09366223185616708,0.16800867605048256,0.9256053,0.8570352,0.86300623,0.7678629,156.67,30.05
0.09354117251787668,0.16799514222185355,0.9256989,0.8570395,0.86316425,0.767871,158.42,31.03
