train_loss,valid_loss,train_dice,valid_dice,train_jaccard,valid_jaccard,train_time,valid_time
0.26718517659587154,0.24708162530048475,0.7994595,0.8012405,0.6816518,0.6859844,216.47,36.11
0.1983646182234649,0.22258176845875946,0.8456969,0.815901,0.7407596,0.7072339,216.96,36.21
0.19309566883145604,0.22814414418629697,0.8477606,0.80650824,0.74469966,0.6947363,211.52,36.32
0.1837773980565572,0.2629634986656743,0.8538507,0.77379936,0.7533808,0.6587446,206.76,35.68
0.17953526370720177,0.20647352032766148,0.85508627,0.8241409,0.7563207,0.716459,206.17,33.22
0.1596871417030286,0.20141492471904368,0.87052673,0.8271665,0.7772194,0.72132415,204.16,33.4
0.15465081896241537,0.1957578575993712,0.8743418,0.8321783,0.78250194,0.7272712,205.58,35.41
0.14534267268582077,0.2066451268824371,0.88229233,0.8216374,0.7940142,0.71229494,206.17,33.79
0.15267334666813395,0.1977940893958549,0.87537414,0.8291944,0.7848123,0.7250217,213.74,38.12
0.14260422586235091,0.19136201831940058,0.8834711,0.83414143,0.7957113,0.7303101,205.35,35.38
0.14121754384864166,0.19923359815131975,0.8845683,0.8266274,0.7975279,0.72396564,206.33,34.2
0.13737375909600277,0.19597361931526983,0.8875469,0.83028054,0.8018718,0.7284683,225.1,35.58
0.13465627303151306,0.2144625826260528,0.88969773,0.81341326,0.8052114,0.7100836,213.34,32.3
0.1296645061689128,0.16818017316227024,0.89325535,0.8561749,0.81133085,0.7599098,219.66,35.35
0.12215678717085823,0.16858675159715317,0.89992917,0.8554521,0.82141757,0.7601525,237.35,36.2
0.12072896016652945,0.16977973579353578,0.9011596,0.85409105,0.8233417,0.75955015,223.86,36.27
0.1196323258490646,0.17072859582667416,0.90209883,0.85288054,0.8248103,0.75907403,217.06,36.44
0.11750641260803442,0.17033217545296694,0.90398127,0.8530695,0.8277493,0.7597071,216.26,37.05
0.1171432410290733,0.17038476366449046,0.9042283,0.8529977,0.8281439,0.7597064,213.72,37.22
0.11699508679921988,0.17045214752087723,0.90434545,0.8529221,0.8283208,0.7596505,213.03,37.29
0.11675737825755016,0.1704605497621201,0.90455,0.8529086,0.8286449,0.7596409,213.81,36.66
0.11674353326688945,0.17046861828783075,0.90456414,0.8528989,0.8286663,0.759639,212.09,36.23
0.1167300454692386,0.1704750479878606,0.90457404,0.85288906,0.82868165,0.75963104,204.47,35.96
0.11670609262087002,0.17047547080830946,0.9045933,0.85288864,0.828712,0.75963,213.78,36.79
0.11670479333528284,0.17047782524211988,0.90459317,0.85288286,0.8287117,0.7596228,215.08,37.54
0.11670336262087413,0.170479227864259,0.90459436,0.8528782,0.8287133,0.7596184,208.23,35.63
0.1167007288986143,0.17047909803285793,0.9045969,0.85287946,0.8287174,0.7596204,202.5,35.87
0.11670063208455242,0.17047909501235228,0.90459704,0.85287845,0.8287176,0.75961864,200.95,35.21
0.11670049920620157,0.17047906561276396,0.9045966,0.8528803,0.828717,0.7596206,212.6,36.25
0.11670044674773625,0.17047896251283787,0.9045971,0.8528813,0.82871765,0.75962174,204.24,35.89
0.11670027149964399,0.17047920168654337,0.9045968,0.85287786,0.8287172,0.7596189,203.88,34.22
0.11670021047446051,0.17047907744307775,0.9045966,0.85287875,0.8287169,0.7596199,207.13,35.73
0.11670005915809697,0.17047902392978603,0.90459657,0.85287935,0.8287168,0.7596197,215.5,36.38
0.11669994367409772,0.17047913377550808,0.904597,0.8528784,0.8287175,0.75962,211.03,34.81
0.11669975958387675,0.17047908680664525,0.9045972,0.8528763,0.8287179,0.75961745,204.02,34.38
0.11669965997222333,0.17047944680057667,0.9045974,0.85287744,0.8287182,0.75961894,206.46,34.48
0.1166995723336819,0.1704794504755252,0.90459704,0.85287637,0.8287176,0.7596174,213.68,35.66
0.11669943786084884,0.17047967011662754,0.904597,0.852876,0.82871747,0.75961715,214.26,34.21
0.1166993012572077,0.17047948108331576,0.90459716,0.85287875,0.82871777,0.75962085,217.35,35.53
