case_id,model_key,model,gt_et_voxels,pred_et_voxels,et_dice,hd95_mm,boundary_dice,boundary_valid,small_gt_lesions,small_detected_lesions,small_missed_lesions,small_gt_anchored_dice
BraTS20_Training_035,baseline,Baseline,24262,33154,0.7393757837536575,3.4641016151377544,0.7124173292710114,True,1,0,1,0.0
BraTS20_Training_035,lhfc,LHFC,24262,33669,0.7671540280678738,2.8284271247461903,0.7842474111781319,True,1,0,1,0.0
BraTS20_Training_035,full,Full,24262,34356,0.7627691152888192,2.449489742783178,0.7845626072041166,True,1,0,1,0.0
BraTS20_Training_089,baseline,Baseline,18581,16945,0.9431402353206103,63.70361051107004,0.8805826796862494,True,1,0,1,0.0
BraTS20_Training_089,lhfc,LHFC,18581,16482,0.9385392008670108,62.88123412623305,0.8985083807473474,True,1,0,1,0.0
BraTS20_Training_089,full,Full,18581,16231,0.9316902217626106,62.88123412623305,0.8832294359130303,True,1,0,1,0.0
BraTS20_Training_058,baseline,Baseline,6708,11773,0.5803798495752395,17.60397475861779,0.5231229899079517,True,0,0,0,
BraTS20_Training_058,lhfc,LHFC,6708,11811,0.5992764188131109,14.88454637045654,0.5819559228650137,True,0,0,0,
BraTS20_Training_058,full,Full,6708,12756,0.5776818742293465,11.489125293076057,0.5565422768068021,True,0,0,0,
BraTS20_Training_298,baseline,Baseline,94,56,0.02666666666666667,17.27280548908755,0.12244897959183673,True,3,0,3,0.0
BraTS20_Training_298,lhfc,LHFC,94,363,0.3150984682713348,12.545370774973042,0.5175644028103045,True,3,1,2,0.09782608695652174
BraTS20_Training_298,full,Full,94,109,0.5024630541871922,15.178803000639823,0.775,True,3,1,2,0.16352201257861634
BraTS20_Training_206,baseline,Baseline,5096,6674,0.8222599830076466,4.381546345832435,0.6248149244891916,True,0,0,0,
BraTS20_Training_206,lhfc,LHFC,5096,6470,0.8111706726612485,12.437812189818363,0.686965811965812,True,0,0,0,
BraTS20_Training_206,full,Full,5096,5361,0.8847661853304006,3.0,0.8578993821712269,True,0,0,0,
BraTS20_Training_093,baseline,Baseline,24337,26975,0.9141331462425943,2.8284271247461903,0.8448288083929963,True,1,0,1,0.0
BraTS20_Training_093,lhfc,LHFC,24337,26242,0.932995907392396,1.7320508075688772,0.9189692000275616,True,1,0,1,0.0
BraTS20_Training_093,full,Full,24337,25236,0.9459181409234866,1.4142135623730951,0.9554191677345384,True,1,0,1,0.0
BraTS20_Training_323,baseline,Baseline,4674,4039,0.0002295420635831516,42.94938530513403,0.0,True,0,0,0,
BraTS20_Training_323,lhfc,LHFC,4674,4581,0.008860075634792004,45.37399606805594,0.015944917557528537,True,0,0,0,
BraTS20_Training_323,full,Full,4674,3074,0.005162622612287042,45.622910585295195,0.006952231442027361,True,0,0,0,
BraTS20_Training_309,baseline,Baseline,1976,2508,0.6480820695807314,16.054543530560323,0.6437015898899306,True,4,2,2,0.1659891598915989
BraTS20_Training_309,lhfc,LHFC,1976,4549,0.4931800766283525,23.322715497683355,0.48837784371909,True,4,2,2,0.057124268054651914
BraTS20_Training_309,full,Full,1976,3799,0.5735064935064935,15.159149900566783,0.6067610517191563,True,4,2,2,0.09610983981693363
BraTS20_Training_030,baseline,Baseline,6149,8048,0.7569204761569346,12.36931687685298,0.6555906296727031,True,0,0,0,
BraTS20_Training_030,lhfc,LHFC,6149,7427,0.7902180318208604,4.69041575982343,0.7533692722371967,True,0,0,0,
BraTS20_Training_030,full,Full,6149,6988,0.8009438989114714,5.0990195135927845,0.7970844504021448,True,0,0,0,
