train_loss,valid_loss,train_dice,valid_dice,train_jaccard,valid_jaccard,train_time,valid_time
1.3373782764612934,1.2523424383756276,0.4465376,0.5113938,0.32228795,0.3640067,124.03,25.22
1.173961002075255,1.1420600245127808,0.61862886,0.5611801,0.46580476,0.40865487,120.59,25.73
1.0622704189111287,1.0379434542076007,0.64007527,0.61244607,0.48710415,0.4620784,121.33,25.38
0.9546882561208672,0.927113534630956,0.67150915,0.6441784,0.5247266,0.49565783,121.14,24.72
0.8351392806272099,0.8136862733879605,0.69808465,0.70027995,0.554794,0.55245507,121.89,24.47
0.7152124243255719,0.6907084922532778,0.72260994,0.71454775,0.58267653,0.57378274,120.86,23.82
0.5922937398986594,0.5754782440694602,0.7565178,0.744879,0.6236509,0.6119941,121.06,24.46
0.4884012283518156,0.4801644711075602,0.7693271,0.7499845,0.64041626,0.6187331,126.68,26.33
0.4158731432856289,0.4082098989873319,0.7764982,0.7829679,0.6510256,0.6587463,126.88,26.73
0.363751131157003,0.3765689039955268,0.7821651,0.7676956,0.65821403,0.64133227,127.95,26.69
0.3306661908032829,0.394330695271492,0.7862232,0.7178531,0.6654103,0.58939785,127.71,26.92
0.2872065892479299,0.3668826433855134,0.80927664,0.72072893,0.69330084,0.59649956,127.83,26.65
0.2723291144354798,0.3965783928697173,0.8090197,0.6775335,0.69373614,0.5572073,127.55,26.67
0.2744701875496931,0.3454829217815721,0.7977384,0.72468936,0.68034655,0.59743404,123.94,24.79
0.2449965912718253,0.260677620768547,0.8186058,0.8004381,0.70474625,0.68123496,119.68,24.33
0.2296598710496601,0.2518782234071074,0.8280883,0.80408686,0.7166013,0.6879679,118.75,23.33
0.2192005167791351,0.2514301519337538,0.83328235,0.8000354,0.72347254,0.68310046,117.1,24.72
0.2172158434697162,0.2420111933874117,0.8321773,0.8060301,0.7221215,0.6900713,118.16,24.74
0.2117551170028601,0.2376921786045706,0.8344925,0.80754566,0.7256294,0.6929279,119.78,24.09
0.2093891565495891,0.2401666386506042,0.83470505,0.80404294,0.7256508,0.68817323,119.66,21.83
0.1997983616265805,0.2310056753859326,0.84164727,0.80941886,0.7352512,0.69576514,115.19,22.8
0.2108879299827123,0.2417156800023607,0.8308001,0.80058795,0.7217408,0.6839792,113.79,21.76
0.2064997545128202,0.2226983222204285,0.8332555,0.81461126,0.7246844,0.70108736,113.57,22.05
0.1932039802988215,0.2280206335960208,0.84374726,0.80880034,0.73889726,0.6952155,115.0,23.3
0.1883663566717841,0.2140191103759649,0.84734654,0.8208528,0.7436842,0.7098398,113.05,22.91
0.1942098821705417,0.2263432622358605,0.8406080603599548,0.8061437606811523,0.7335824370384216,0.6928156018257141,156.58,29.93
0.1849825351792551,0.2131626610014889,0.8468606472015381,0.817568838596344,0.7422329783439636,0.7069170475006104,156.57,30.41
0.1742518414609163,0.2151733458646245,0.8553910851478577,0.813904881477356,0.7537057399749756,0.7009374499320984,154.71,27.97
0.1768161306295413,0.2154636146450365,0.8526896238327026,0.8131608963012695,0.7501280903816223,0.7038440108299255,127.88,27.28
0.1673613937158529,0.212385621173559,0.8603615760803223,0.8162676095962524,0.7606109976768494,0.7081689834594727,128.72,26.77
0.1739211948987111,0.2054250492034731,0.8544687628746033,0.8222349882125854,0.7530763149261475,0.7153725624084473,127.55,26.92
0.1761349620812134,0.21662615662491,0.8522120118141174,0.8100404739379883,0.7510651350021362,0.7032667994499207,131.31,28.79
0.1659738587846088,0.2095394246280193,0.8607322573661804,0.8180656433105469,0.7618874907493591,0.7102351188659668,128.95,22.41
0.1585594854002333,0.2083060201760884,0.8669524788856506,0.8190343976020813,0.7706634402275085,0.7130510210990906,113.28,23.31
